example_id                                                            | status | run_time        |
./spec/lib/test/sms_sender_spec.rb[1:1:2]                             | passed | 0.0001 seconds  |
./spec/lib/test/sms_sender_spec.rb[1:1:3]                             | passed | 0.00011 seconds |
./spec/lib/test/voice_sender_spec.rb[1:1:1]                           | passed | 0.00011 seconds |
./spec/lib/test/voice_sender_spec.rb[1:1:2]                           | passed | 0.0001 seconds  |
./spec/lib/test/voice_sender_spec.rb[1:1:3]                           | passed | 0.00009 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:1:1]          | passed | 0.00104 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:2:1]          | passed | 0.00119 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:3:1]          | passed | 0.00071 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:4:1]          | passed | 0.00077 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:5:1]          | passed | 0.00104 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:6:1]          | passed | 0.00073 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:7:1]          | passed | 0.00047 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:1:1:8:1]          | passed | 0.00059 seconds |
./spec/lib/twilio/programmable_sms_sender_spec.rb[1:2:1]              | passed | 0.00047 seconds |
./spec/lib/twilio/programmable_voice_message_encryptor_spec.rb[1:1:1] | passed | 0.00017 seconds |
./spec/lib/twilio/programmable_voice_message_encryptor_spec.rb[1:2:1] | passed | 0.00014 seconds |
./spec/lib/twilio/programmable_voice_message_encryptor_spec.rb[1:2:2] | passed | 0.00015 seconds |
./spec/lib/twilio/programmable_voice_message_encryptor_spec.rb[1:2:3] | passed | 0.0001 seconds  |
./spec/lib/twilio/programmable_voice_message_encryptor_spec.rb[1:2:4] | passed | 0.00013 seconds |
./spec/lib/twilio/programmable_voice_message_encryptor_spec.rb[1:2:5] | passed | 0.00019 seconds |
./spec/lib/twilio/programmable_voice_message_spec.rb[1:1:1]           | passed | 0.0003 seconds  |
./spec/lib/twilio/programmable_voice_message_spec.rb[1:1:2]           | passed | 0.00155 seconds |
./spec/lib/twilio/programmable_voice_message_spec.rb[1:1:3]           | passed | 0.00029 seconds |
./spec/lib/twilio/programmable_voice_message_spec.rb[1:2:1]           | passed | 0.00178 seconds |
./spec/lib/twilio/programmable_voice_message_spec.rb[1:3:1:1]         | passed | 0.00029 seconds |
./spec/lib/twilio/programmable_voice_message_spec.rb[1:3:2:1]         | passed | 0.00014 seconds |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:1:1]        | passed | 0.00076 seconds |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:2:1]        | passed | 0.00101 seconds |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:3:1]        | passed | 0.00178 seconds |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:4:1]        | passed | 0.0014 seconds  |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:5:1]        | passed | 0.00091 seconds |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:6:1]        | passed | 0.0008 seconds  |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:7:1]        | passed | 0.00087 seconds |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:1:1:8:1]        | passed | 0.0007 seconds  |
./spec/lib/twilio/programmable_voice_sender_spec.rb[1:2:1]            | passed | 0.0009 seconds  |
./spec/lib/twilio/programmable_voice_twiml_bulder_spec.rb[1:1:1:1]    | passed | 0.0027 seconds  |
./spec/lib/twilio/programmable_voice_twiml_bulder_spec.rb[1:1:2:1]    | passed | 0.00279 seconds |
./spec/lib/twilio/programmable_voice_twiml_bulder_spec.rb[1:1:3:1]    | passed | 0.00327 seconds |
./spec/lib/util_spec.rb[1:1:1]                                        | passed | 0.00034 seconds |
